timestamp,house_id,water_level,power_consumption,pump_status,electricity_cost,water_usage
2024-10-01 00:00:00,1,33.83995812249988,10,0,14.67,33.66
2024-10-01 01:00:00,1,47.588282552945635,37,1,9.41,32.46
2024-10-01 02:00:00,1,41.99717659395838,26,0,16.13,38.95
2024-10-01 03:00:00,1,43.32566346289128,39,0,10.77,32.31
2024-10-01 04:00:00,1,27.5419363444097,21,1,15.93,36.12
2024-10-01 05:00:00,1,50.0,28,0,8.86,39.6
2024-10-01 06:00:00,1,47.23078400095573,49,0,13.88,30.19
2024-10-01 07:00:00,1,39.981613652585445,48,0,15.44,31.05
2024-10-01 08:00:00,1,37.44964745862445,42,0,14.03,31.1
2024-10-01 09:00:00,1,39.872194863681756,23,1,9.82,39.97
2024-10-01 10:00:00,1,33.9898919630583,24,0,14.81,31.83
2024-10-01 11:00:00,1,38.82271609093892,33,0,10.47,39.43
2024-10-01 12:00:00,1,32.31633765237328,10,0,9.99,34.93
2024-10-01 13:00:00,1,33.74881237046731,18,0,9.51,34.78
2024-10-01 14:00:00,1,31.3643775222002,50,0,10.85,39.28
2024-10-01 15:00:00,1,27.07353510023265,32,0,9.79,34.7
2024-10-01 16:00:00,1,21.106321676757094,48,1,10.98,38.02
2024-10-01 17:00:00,1,32.16152264628123,38,0,8.6,38.89
2024-10-01 18:00:00,1,26.179193009612934,48,0,11.05,30.35
2024-10-01 19:00:00,1,33.255263333945855,27,0,13.01,38.09
2024-10-01 20:00:00,1,26.695619900034853,37,0,14.74,39.65
2024-10-01 21:00:00,1,21.507542289619373,49,0,9.68,35.99
2024-10-01 22:00:00,1,35.14748657586987,10,0,9.59,36.48
2024-10-01 23:00:00,1,36.821425345369825,11,0,11.87,31.3
2024-10-01 00:00:00,2,43.038399895371846,16,0,17.07,32.12
2024-10-01 01:00:00,2,39.250806695287544,41,1,12.59,34.26
2024-10-01 02:00:00,2,41.36461600004778,33,0,16.27,38.35
2024-10-01 03:00:00,2,36.086145679568,39,0,11.51,30.17
2024-10-01 04:00:00,2,43.145346150577296,17,0,13.12,39.23
2024-10-01 05:00:00,2,36.818569387421064,35,1,10.31,37.28
